"Id","SuperNodeNameForMe","keys_size"
735642475270993516411591709403011762189813841894,"503",71
1367214075909634831663221168935915317061682937681,"947",37
1402136335498090871706098768624399654732876904537,"971",66
984403264097947171871447048574060851533773564674,"666",78
171297482203857358026561029195044291305161090107,"122",36
530513860723127678951916817974873557711813395582,"345",7
291980534994685814069247054331639236154961414372,"205",59
988910395391706453814172617716430863934122040878,"669",17
593446342349328084578104082549849113131645109067,"392",22
1352547243516238775600335091113007575712353178888,"935",42
608725557395341730072041020740222159041262714687,"403",117
734048135444249046957833766495300338000257168513,"502",230
1250053588222264895375438967912224457887275908892,"860",17
577611434463982943259773939656368107879729460181,"378",7
1140662277061105910265181731652000116668482690937,"777",60
1167510126506040517812495861587809533234826277896,"792",6
62038916867200074543611752868492807874043755894,"45",71
249445822236277988303794804518860919976366704360,"175",127
832775075492548887726391947076262498910753559023,"565",12
647783164806777242344385450996780227119513876107,"440",108
1335713981269774655292892626642227434304469147184,"925",50
532122555438400426712498207345608084271066480799,"348",40
162961461180573800299892197177374775166186810470,"117",72
1128622580955427153111075900036150634205228033901,"766",43
324184839854981539452576591848858093108120611375,"220",20
1050883151351099277902171939771886841062163381562,"705",63
1078341486715710136281411689539494521387587903171,"728",80
1075418319870124820400703101941229269655901522546,"725",7
677897198182578902815767056618104896345524105186,"461",94
1450065767368381233250949939985302858275991985064,"998",21
1090188642313473953723890055205366683594380926004,"739",100
27777085744871779266540073565860871745974912119,"23",12
226220484310627982657828507960865825973158563139,"157",35
786115330427544390757590061223199518244241111690,"536",232
1033142610529450326020096271376841096418414531992,"691",25
1194061834786418794230019550206873331755838000528,"815",38
892736238644155447257610778618114524797480538262,"602",90
1099693504956812766125413104197872841820163720664,"745",26
632946939124206763026697263046968826377296676303,"425",10
1400494272916636512309036946921618917835077613723,"970",8
884439582256312280793272968792614594732718186499,"596",238
1198751218432568919571731933998416009982085219038,"818",173
876147005438084256641020819357951159519681584542,"593",173
805206948629676767340428264882241695559873483107,"545",79
167948075924606003706099914134553491551681686736,"119",244
249535160926310548182880181772226453477975767015,"176",4
113697700551605169938080045677781466370174860692,"79",90
938935694692861946778818245852710265148755379221,"636",72
671271998068467324626913259572357485929864029282,"454",138
648165619986540799933367927342696865315232413226,"441",17
1334025266375786100999292582300108864564266199494,"923",103
865688070227757166011565630098911561006669203922,"587",4
55640073668379101883763304929238011497461783116,"40",84
380317140671394699005282716138613314087980047808,"257",21
712739244601529930148938545366886820262431669033,"487",5
1226116979091275482640560358865131867331750932142,"837",60
1434099956859477798754502983097052280408144946186,"989",95
90923507482459977894425180489522689769118602512,"62",60
713706112135080109327759983473705944302091190059,"489",16
1254385062282717061418230526048738451641585554302,"864",67
714778887048302321256288460545457404331201425168,"490",59
2404771899645989339130120392795895668946924859,"4",67
571601315594907266808404573850299245458106322225,"375",7
848279798942754469505807409723514780997354978199,"578",27
497650177001111529008969088881748589601319828881,"327",162
971061493091257375352604286615379289723756460,"1",27
1154949033108130184700276905929339559847402954552,"783",9
47762049775138981438476297764251906436189511420,"35",145
257169738247175543538710608339027553552525917491,"180",57
1238416836434565921535697844553743925767240687495,"849",16
1393439802839892921792012256027999434365862441741,"962",184
1158454463109761045772643549083125282084175738519,"785",104
869371207548485965739367466807198967917918754216,"589",157
27777796417136461056213334284625312619322638092,"24",0
56624562550513413537627767896477096243681150666,"42",26
1273263469247742905934012351480594234746843141501,"881",79
1036552019164622322693751811019348647659309408475,"695",24
890584858270622400358084971861908994613737521730,"600",4
750010502337591944996778517991262106843154388107,"517",18
1161668499930011893247615533451489542079195824630,"787",56
1325514909528766321102820766931917307551288905288,"916",237
931072335548365094439144474347057352002244909138,"631",25
461605149304063938974101722030204702572506457627,"305",184
1252845766637350358064977457851847964433101165588,"862",76
864441341136086705177192753945682540378393992091,"584",339
612542381833781177993205565677028635962399696894,"407",124
1366400091154461971111734305043583528018164889928,"946",46
372590138378755138693359954781388179888491651717,"251",34
1120996655885911709166612888794093769024966486868,"759",138
1265696422583966828342638212468705674226153713412,"871",46
1328638178486544614032798831452617774381448821568,"918",70
825438038277401414932050930372473113681059094772,"558",15
965699096211486434572586621200647368913612624377,"651",22
1095259476961292595220230357258647993347281680027,"742",20
1288978594311680271202326298734830125116867837623,"899",84
1429425797029914753219244648476527933740545676100,"987",416
301417606588765750476325315654781048397432649545,"212",11
823520063031795882785441409699697595977381626569,"556",15
283291839656066818915301536112559579579218799160,"198",66
488823963208114274818520602790921440045020226243,"315",92
118081756028936194263087558283785186340554245875,"81",146
1361023784058385041789778845010899220256545310068,"939",94
917507654782075464643809206501512818152111353972,"622",13
617786898265872626583249185918995212365015937959,"410",90
1115535302082426569600093842611732600258451783585,"756",147
237886338039724960655239323996890101122125334809,"167",26
541707729367309665835830248545303177669261591860,"353",36
1320405268352570987705876268530093555320284679056,"915",131
683616055438349194954504511435809966258022194451,"464",44
836274141317324900708328307007678591640334380653,"567",4
19434016692722777763152534929314289642778117318,"15",37
370440125566989766871569403601755498908830589014,"249",49
1063024758930291909525453743146761624858907808820,"714",29
763825485741493186885013454900610617355056533026,"523",68
1400363945099831649587000845618346810322586930873,"969",18
290543998031475085336526375939813952549345487585,"204",52
979738963094575309938829565455762697494115906768,"661",19
182088548516293696458956635228111025485699914815,"133",85
591385606880181155367913624075450860241072834074,"389",10
1093111874239825282077092539641519475511059278710,"740",150
281805186273164663151451729557880312188590822110,"197",23
626901535034920776673955301054279568937644052457,"419",37
1027136903483904606285579746777865498984440717494,"688",22
10362203058786813100017815137478419282690468891,"8",14
81541011779237646163377176450751909015461078849,"56",91
490018239488422403322811620206406012094871843056,"316",67
1219548211030832617599042356000911440593142854132,"831",145
537593144754576884410633242813682072518851097614,"349",284
568963579462121819161910842938732965311062757636,"373",23
996982603096930014210919956585695539936016978232,"672",215
802090601999120863518467688759737715322937879814,"543",25
580217628527371060938932672047225448252694497007,"381",30
829459877986892796329535630552630568675496550286,"560",106
137014706686027932726520304954563644650524656271,"98",6
1251310329032562342783755885599969502389825687342,"861",65
709004294917998944076007942821735280080556487007,"483",122
505380502378272431219220154998410682498597170329,"331",174
842780639753461260500728447759864112604166799662,"575",11
845526782905641970489265457512853529807494349454,"576",131
553646483663892281412159596689555967685711424736,"360",30
554997274750877148311303344027142099849570445412,"364",10
1418976105521586431431665183842699766609619319835,"984",40
1134251492473181394195361500492825342097435751456,"772",6
381492321485196942338181271680220659893615958958,"258",42
886666736663067827005962721675482739128027763537,"598",67
893721671000708244415007999795001069425749004518,"604",16
941626967614582774098443628495543436770905485585,"637",125
81567941569412773359143134471097319533934901006,"57",1
136196264273872007117568511127214655249430862364,"96",69
644388834766845890823489272486798586192127409532,"437",70
1405299808027987032082960483444615657589421892357,"975",14
91972378318320556169861153377092781777252933184,"64",38
199714141176686790552008908329950753330921630288,"147",53
19532011884630682434747433047530392639340491567,"16",3
685367663041535275955691547406712684278410088563,"467",16
740952030292014105267740595055893372339885812122,"509",6
485892555085829487626521410394257154751413527331,"313",203
268957682456116167758503743849383438248274390313,"185",59
255883130419364467023201588347987997603390550247,"178",215
690050419040228081205338927310768506943855408900,"470",149
524960227067182807300428200083481397121743847507,"342",72
627344370164629734930014324330403291194737299313,"420",25
79612407094190855300103781376612314833303741266,"55",107
918784769732180666646665136482573531918051247443,"624",53
794564442730891373362195176113911648852585792651,"539",259
481790522119434412285295379826167210961996482132,"312",155
491661559988578202867195015595404637259263299286,"319",58
1351339732194166790257135888545949168623543546185,"932",129
1133341200766285414023958964285759141669391349048,"770",69
1343893249881017090223971880462637468534015917284,"929",119
197372900500288226492137794000420854122928408514,"144",12
134727603460404764276654954988906859277850883672,"95",20
324436705915513687192267529574663477207834680640,"221",12
312398365662497567556296036010450956485855470163,"214",257
878704332857020470459043134945177152399537587013,"594",127
1443589628988342425766473813695752787052286919306,"992",16
518611110199126116369220391699941357114402442855,"336",260
141516031184721635126054261879953192140687521547,"101",72
728594068640041700734647970629259846201476630355,"500",185
10200936077601652127770325843381537583539330349,"7",37
279369255208849285406586758511801413920725139833,"192",44
984579782666597901666721923679787646157150096786,"667",8
659798388206135712086503778065127390700400329711,"448",72
836407424067647963316522833347621849468993705541,"569",6
87936991062425702826101432357280481110203328305,"60",74
458274787226302553431083027981528847213037612102,"304",108
280925740455371517831222368524373592336687250547,"195",25
1358738781992504764562308749071298984194109597513,"937",217
609244970591907002178666899693844972380875653948,"404",24
454533363634855638897700661738499088742189567601,"301",33
781065868672259965551117462578132290746672799641,"534",50
261212447094882146685476712905811627929809349434,"181",192
105963879314740618165406738005319501195235344422,"74",28
1358998594165151576777484286826272487749416393071,"938",16
910962216107852295129065399580421128575741353316,"616",25
1195455282704970123546741460059446570878417560556,"817",39
403159152236619189696189725662393355148483599619,"274",8
1148001003568314173492580273124759091349100307962,"780",303
1171646982640964445415466658262569876085654480304,"796",51
161231201992701466079905850464219263018155121466,"115",182
21831452734428681953958452130760497689646502452,"19",40
1258398699019358419430127701951986978992180431234,"867",63
120436430581136413756523469788402010284053553776,"85",29
903807057927211294541361076829151600374564950829,"611",1
1292128785003189754737596415711448529328601672621,"900",133
1389732891368480638016705344368299753268796759478,"961",271
930323953818636485831103463213722609059738747939,"629",289
180529262719195316184211488865111688278228104927,"132",3
698038550752786488496507349823810827812794104002,"476",23
625499712518902796095521533800156710445394875192,"416",56
1216651333412433146897883206276350766096931887983,"830",145
229982729075311654279100062261757783599616505962,"162",13
5605524417626004800633884957992055967276261981,"5",159
350817987448767033140519722748757532397131970651,"240",15
571452473542439631121018488774485410152255554453,"374",111
23076354269642384437150076884758935760620392734,"20",58
184531934772618802006811819404696820841057668900,"136",0
668500475524054064897430733531969528454914600543,"452",160
571815426143173424400081452013787345287834106816,"376",19
1167373843912347654026645526194738773808424914661,"791",8
1226580472371494931516553271468838087729046899574,"838",26
1270170803698083400517729406234692300865550368569,"878",21
545515094762658077879041804047115356619405897866,"356",15
105089550685293117131690507484455672392435575629,"73",12
301237137709087211759804955614306772083446720323,"211",37
1094827273724820653382658207669926419584062870316,"741",91
723715530818297235837511721806437961601630567006,"497",28
1443290280382228300265724353190317724117961642560,"991",327
307032959103216552750327676550865479229384702467,"213",293
1381171174017836604910696499487633111918061182488,"958",38
1278356683543305232373458503924239514470041320236,"885",56
1375992469601665473228844255786751933118828659041,"954",26
523492563989534610357316425398631409305175342211,"340",80
1193366179291281224900772023757048068155145643998,"814",12
523654175885771226353618569951015990965702593299,"341",7
86225695248438192798313336760254295629137966531,"59",54
1455998139280898160332279097939875326403687235467,"999",272
579552403330616125419903698155680866400926061070,"380",20
1043050334856075803601387142416415055542153643647,"697",91
713330890879190056957031447320575021498526045257,"488",31
988468950691821189938185946760528621374873468349,"668",179
551006101418931982262188504293449825493890451019,"358",19
185762389196139077547033070174307826831211273550,"137",54
695606816988149925605410131221304517748526751667,"473",33
143047777399463223096830398693001160706424291017,"105",5
388929826452767132215369550660284674496065224493,"265",45
1362792587376293488378488735669458427176161112908,"941",9
1399984450910352204558826510565839619072691878336,"968",29
712307302880173565044214096239768699142955322618,"485",140
658147834056486919802251371685720008505311873370,"446",274
969649401844962507964137621104622527883577231258,"656",6
